net_pnl,max_monthly_cap,avg_monthly_cap_req,final_price,min_price,max_price
-17907.871086342686,4210.642652852654,293.57165715315864,1407117.2248002447,53288.79672827882,1798011.2372772756
-16270.892658844421,3447.937110371953,266.73603289992644,540993.9741059717,67768.3674704206,1456098.1982227995
-22606.84079392689,4988.777733706709,370.6039498450023,509019.5261511845,36450.04936083925,810393.0787559734
-16615.18821345776,5161.26855859741,272.3801346468485,1232054.6238268146,54427.94003598069,1963667.8930459952
-8243.4690003574,2298.2969855598385,135.13883607143302,949958.8923966428,77160.05825142936,2462399.4938082555
33290.12503929274,1157.841007434181,48.78521984914146,36669.87241054248,13200.712371534399,108928.65163480322
-1177.6486129562697,426.3173677795535,19.30571496650094,410895.2273381092,91747.97415781474,1026222.072874284
-11173.862536029914,2165.551113118414,183.17807436119742,927811.0055304328,51811.281664030175,1003072.2760838693
-25194.6996453551,4501.029251841614,413.0665490096705,119227.57775332485,16046.158413319106,234340.0739911255
-17314.68025007416,4376.401087543272,284.1810296564894,225176.33373384652,72514.19763921211,825012.8129181765
-3127.691188343149,1724.4561212284207,51.27362603841227,3550391.2783308127,84745.64313307265,7075825.10164548
-13547.32413561374,4224.02789604733,222.70106187567345,136222.8072956227,76689.27095988631,489501.73213763785
41930.18359901137,3241.144002163921,302.44729754788773,23399.438919151293,11398.959260572597,271944.3319641195
-4072.4602133494113,2136.2401727993565,66.76164284179363,1110169.42059484,85493.8704274296,3338119.7011311767
-9953.490458190241,2526.2103253509886,163.17197472521178,992528.9826136783,47284.48728850757,1203139.1591945137
29083.64821784712,4280.547123374508,346.63313107225605,22529.809935059828,18627.5935151651,139088.30070964203
-6361.502820410431,3223.3570731344953,104.49298681192515,217398.9115935104,51689.74460293016,768870.8528989895
-25607.37361765289,4819.048257861381,471.5733619592957,68951.87889578,12925.721665783472,140761.34782585024
-2222.848502540754,838.579885376721,36.4401516830205,473759.5805294743,97653.56776234401,940999.901366114
-38140.598465733136,5326.430265221206,625.2557125530957,862254.9772680651,36902.4006423137,927476.5054804976
-4208.8517561696035,1049.3631256757471,68.99756977327218,8686173.984845778,84762.85274840033,9124336.64623626
-18209.178560521326,4758.432786869409,298.5111239429732,1145980.7154042926,35194.33434884861,1871394.2562139742
-24436.641654993768,4587.948185966863,400.60068287247867,666655.7338091256,46148.16843547281,708170.0004500959
-29258.857336167235,5081.809978868674,479.65339902046765,572144.0609119869,52809.22989995987,932265.8162118077
-10275.123308997418,1823.5722187329357,168.4446444228107,1012298.805590307,73095.5911194192,1037409.7598992214
-4227.833348330651,961.5334570233808,76.08433263807777,132571.94732449777,85679.22797942867,868756.4918689908
-24809.899209114512,4219.973899294288,703.0112818476282,59785.0642898604,52124.512951924575,210257.15330867513
-32363.048012080824,5294.13645523665,530.5891101203707,144627.04212959926,20229.210121651427,178278.4764815721
-32475.141662713486,5269.154297541536,533.131765604924,89346.48447339224,46359.02096338325,465351.5495738777
59474.427518770986,3073.143708006155,178.76525117290214,9122.834566402555,6816.617810932915,114507.34711956623
-58561.086484968844,5463.110244299794,982.4583469089124,105938.52369861952,28397.54986578323,141681.3347448235
-26340.083261000367,4305.19364771232,431.8046436229741,593020.5641894502,42715.62550352574,1786502.0977666362
-18166.387090919103,5641.733668736684,780.267934316552,47083.07385094867,24894.99373499694,223623.45320447086
-50442.319119542626,5326.984721411907,826.9710184169215,238101.84241211446,51600.375649626505,266996.93446664704
-56669.787032783046,5789.594723985509,930.5337771384794,113876.74076639806,56944.25348036745,262778.7936639455
21505.677006956208,4292.555415515519,467.2748458529107,29148.942360863577,26028.780038465156,471323.86833805306
-11812.4701485993,4160.183079402366,506.1136108027751,64303.48819203153,45965.241856062814,364204.1723638144
-46393.77863156099,4973.188067202893,761.6219198809966,69438.3343036591,54088.82973393535,424079.25449864473
-40628.058467254654,4998.201835147163,667.3729679884151,94467.01997451797,29506.57533883351,132748.5114793057
