date,tenor_bucket,a,b,rho,m,sigma,error,quotes
2021-04-02 00:00:00+00:00,180d,0.17940737685933122,0.23999000420562658,-0.35639909706864226,-0.3928765394869792,0.5295404843629913,7.938681111073083e-05,23.0
2021-04-03 00:00:00+00:00,180d,0.1718360085155496,0.25457385638462887,-0.3242542755711316,-0.3041141980206857,0.5111801269519665,1.4194911753473893e-05,17.0
2021-04-04 00:00:00+00:00,180d,0.25295518649097787,0.16585020156083688,-0.18031748871059936,-0.18893488459396562,0.213738066264573,2.6468298775909854e-05,16.0
2021-04-05 00:00:00+00:00,180d,0.2039964811532189,0.20794529680364074,-0.35456390323670495,-0.37611803515672937,0.4023548744145802,6.383930963444357e-05,22.0
2021-04-06 00:00:00+00:00,180d,-1.0,0.9166539279913754,-0.6661029147310525,-1.8706536547702628,1.9148554054180793,5.9401750599228154e-05,20.0
2021-04-07 00:00:00+00:00,180d,0.1989193457404001,0.19879380513398223,-0.2969286847861045,-0.3490442265752696,0.4733113637132084,0.00018607794727069907,22.0
2021-04-08 00:00:00+00:00,180d,0.10042124578233758,0.24564692842736405,-0.23361444145549734,-0.3354784172226312,0.7551989657018007,1.6128132643602637e-05,21.0
2021-04-09 00:00:00+00:00,180d,0.1829524498319516,0.1758309624252969,-0.04995501061379505,-0.16183116664343603,0.5502923572145709,0.00015228556713238605,21.0
2021-04-10 00:00:00+00:00,180d,0.02380201190986861,0.3259752834372847,-0.4226978387005623,-0.6680256733457788,0.9243489268072501,0.00015665072937824426,26.0
2021-04-11 00:00:00+00:00,180d,-0.7281572477564394,1.0152533516781455,-0.7488141010171799,-2.0,1.5136980387065708,0.00021757502265032654,17.0
2021-04-12 00:00:00+00:00,180d,0.22290598024607353,0.20113093271071483,-0.35369233279795215,-0.392353066250463,0.3563013669934277,0.00020700396400074052,23.0
2021-04-13 00:00:00+00:00,180d,0.06539643436008573,0.30807642118694045,-0.3912391987273324,-0.5893361275545526,0.8185014923398021,0.0001958273119071653,29.0
2021-04-14 00:00:00+00:00,180d,0.17540097576552643,0.19422096654361085,-0.16705117859265223,-0.25813652039726037,0.5336070246923412,0.0003774241353725452,31.0
2021-04-15 00:00:00+00:00,180d,0.028076401671665318,5.0,-0.9759240098738572,-1.386156490195356,0.1958023627180578,0.0010702320111785977,24.0
2021-04-16 00:00:00+00:00,180d,0.13942060811716442,0.21789581501831237,-0.28011499438381854,-0.31260776422281267,0.45476588633862464,0.0009599590301155746,28.0
2021-04-17 00:00:00+00:00,180d,0.1482050838357378,0.22677322510510342,-0.35966067849671285,-0.2623221592724511,0.3164251825236955,3.506511175510945e-05,24.0
2021-04-18 00:00:00+00:00,180d,0.126577356731118,0.23904667598849838,-0.091852890300512,-0.06418097325188632,0.5273473499803136,0.0013425209454801968,33.0
2021-04-19 00:00:00+00:00,180d,0.15661657969383125,0.2446532539924826,-0.3934483883209849,-0.3584530674445742,0.4103958470433225,0.000288811715327777,23.0
